大陆央视,#genre#

CCTV-01 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226102/00000100000000060000000000009784_0.smil
CCTV-03 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226389/10000100000000060000000002718685_0.smil
CCTV-05 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226364/10000100000000060000000002718686_0.smil
CCTV-06 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226366/10000100000000060000000002718688_0.smil
CCTV-08 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226391/10000100000000060000000002718687_0.smil
北京卫视HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226087/00000100000000060000000000007666_0.smil
超级体育01 HD,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225669/0000000022ij.smil
超级体育02 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226193/00000100000000060000000000201563_0.smil
超级体育03 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226195/00000100000000060000000000201576_0.smil
超级体育04 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226208/00000100000000060000000000201575_0.smil
超级体育05 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226225/10000100000000060000000000686926_0.smil
超级体育06 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226232/10000100000000060000000000686925_0.smil
超级体育07 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226289/10000100000000060000000001678455_0.smil
超级体育08 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226294/10000100000000060000000001678744_0.smil
超级体育09 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226299/10000100000000060000000001678742_0.smil
第一财经HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226368/10000100000000060000000000813433_0_mdn_1.smil
电视剧频道HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226220/10000100000000060000000000522062_0.smil
东方购物-1HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226275/10000100000000060000000001534016_0.smil
东方购物-2HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226264/10000100000000060000000001534015_0.smil
东方购物-3HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226313/10000100000000060000000001865656_0.smil
东方购物HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226308/10000100000000060000000001865657_0.smil
东方卫视高清,rtsp://124.75.34.37/PLTV/88888888/224/3221226112/00000100000000060000000000037556_0.smil
都市剧场HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226249/10000100000000060000000001005951_0.smil
广东卫视HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226083/00000100000000060000000000005868_0.smil
黑龙江卫视HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226085/00000100000000060000000000005880_0.smil
湖南卫视HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226086/00000100000000060000000000005881_0.smil
极速汽车HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226323/10000100000000060000000002340613_0.smil
纪实频道HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226230/10000100000000060000000000646848_0.smil
江苏卫视(高清),rtsp://124.75.34.37/PLTV/88888888/224/3221226110/00000100000000060000000000037546_0.smil
深圳卫视HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226084/00000100000000060000000000005879_0.smil
陶瓷HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226321/10000100000000060000000002340601_0.smil
五星体育HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226234/10000100000000060000000000813434_0.smil
新闻综合HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226233/10000100000000060000000000813435_0.smil
娱乐频道HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226219/10000100000000060000000000522063_0.smil
浙江卫视(高清),rtsp://124.75.34.37/PLTV/88888888/224/3221226111/00000100000000060000000000037315_0.smil
直播室2 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226206/00000100000000060000000000201569_0.smil
